"id","employee_id","first_name","last_name","job_title","department","role","employment_type","function","sub_function","manager_id","created_at","auth_email","USERID","STATUS","User Name","First Name","Nick","Middle Name","Last Name","Suffix","Job Title","Gender","Email","Manager","Human Resource","Department","Job Code","Division","Location","Time Zone","Date of Join","Bussiness Phone","Bussiness Fax","Address Line 1","Address Line 2","City","State","Zip","Country","Matrix Manager","Default Locale","Proxy","Seating Chart","Review Frequency","Last Review Date","Company Exit Date","Date of Birth","Auto Launch PMGM Criteria","phoneInfo-Personal","Other Role","Company","Cost Center","Business Unit","Entity","Section","Sub-Section","EmailInfo-Personal","Person-id-external","PhoneInfo-Business","EmailInfo-Business","Login Method","Assignment ID","Assignment UUID","Display Name","password_hash"
"00000000-0000-0000-0000-000000000001","EMP001","Alexander","Vance","Head of Department","Corporate","hod","PERMANENT","Engineering",NULL,NULL,"2026-04-30T13:52:20.007257+00:00","alexgender@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$Juj5JEk3rRRaslG7cSzjfe/cxchshfAapzDtojw8dFlu32FVdj8k."
"00000000-0000-0000-0000-000000000002","EMP002","Sarah","Chen","Engineering Manager","Core Dev","manager","PERMANENT","Engineering",NULL,"526cfc04-e8d3-4100-b7d4-c4b155711d0e","2026-04-30T13:52:20.007257+00:00","sarah.chen@company.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$wudT/7xjBho5ut1GzMQLfeRlmlByQlus9Q9jklEGDACVP8oxqZ/NW"
"00000000-0000-0000-0000-000000000003","EMP003","Marcus","Reed","Product Lead","Product","manager","PERMANENT","Product",NULL,"526cfc04-e8d3-4100-b7d4-c4b155711d0e","2026-04-30T13:52:20.007257+00:00","marcusreed@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$WQAvHl9TvkEsYbqe4IF6Qe.3Vlk9rvMvzIWTzphqFLRVqen8II9lq"
"00000000-0000-0000-0000-000000000004","EMP004","Elena","Rossi","Ops Director","Ops","manager","PERMANENT","Operations",NULL,"526cfc04-e8d3-4100-b7d4-c4b155711d0e","2026-04-30T13:52:20.007257+00:00","elenarossie@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$0FhAV3RMMhhL9R.OarqtneRmqbVQiCU8.pzlFhFDGTQELlShpMQwi"
"00000000-0000-0000-0000-000000000005","EMP005","David","Kim","Tech Lead",NULL,"manager","PERMANENT","Engineering",NULL,"00000000-0000-0000-0000-000000000001","2026-04-30T13:52:20.007257+00:00","davidkim@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$8ZIR54zt17jL0/2cqN9Pze8p/5uc4ZWumTynk6KTcn5UePxMbtJFC"
"00000000-0000-0000-0000-000000000006","EMP006","Julia","Soto","Senior Dev",NULL,"employee","PERMANENT","Engineering",NULL,"00000000-0000-0000-0000-000000000002","2026-04-30T13:52:20.007257+00:00","juliosoto@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$Qunsv1JShGnrkKZ0weAGMemYCDHLHFmOwkN3wK8acJV3ohJxVgK5G"
"0d2de698-a2a1-4830-a74a-6195928e82de","EMP014","Zoe","Kravitz","UI Eng","Engineering","employee","PERMANENT","Engineering",NULL,"00000000-0000-0000-0000-000000000002","2026-04-30T13:52:20.007257+00:00","zoekravit@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$NYYykdyOjuur7pTfNV5mnu54jSpJ48brQqDTr4TjQrMaq/na/Zt3y"
"1d52493e-5ba4-42f3-b7bc-70e86ef49a98","EMP008","Leo","Miller","Backend Dev","Engineering","employee","PERMANENT","Engineering",NULL,"00000000-0000-0000-0000-000000000002","2026-04-30T13:52:20.007257+00:00","leomiller@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$A6Hi2Jw8wukmC0S8zpR1Qe7U8/bN6Wbb4QIUPbi5t9zCktbcQLvka"
"262a27f1-2cdc-4971-a714-56c73bbfa41d","EMP019","Will","Smith","Security Eng","Engineering","employee","PERMANENT","Engineering",NULL,"00000000-0000-0000-0000-000000000002","2026-04-30T13:52:20.007257+00:00","willsmith@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$gniYE8YELplQfPXdl5wn/.60DuS2w3ki31fiHy9e44.4BeRH/kxsi"
"2fb0e02b-30de-482d-9f4f-5b586b1c9366","EMP013","Maya","Angelou","Ops Support","Ops","employee","PROBATION","Operations",NULL,"00000000-0000-0000-0000-000000000003","2026-04-30T13:52:20.007257+00:00","maya@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$2b$10$RnnDH4xtSzCEgqIlphgf3uKmG5vLDnu43hA3xCg9OOhftKqFn6wxC"
